Epoch	Forward1	Forward2	Forward3	ComputeDerivReLU1	ComputeDerivReLU2	ComputeSoftmax	ComputeGradZ3	ComputeGradZ2	ComputeGradZ1	ComputeGradW3	ComputeGradW2	ComputeGradW1	ComputeGradB3	ComputeGradB2	ComputeGradB1	ComputeGradA2	ComputeGradA1	Update	
0	34.7215	6.47987	2.36624	0.69632	0.68576	0.852768	0.15344	0.97856	0.966336	4.46669	9.39021	28.5813	1.26813	1.44787	1.29046	0.996352	72.6834	0.281088	
1	27.382	5.86138	1.9944	0.7048	0.668576	0.752896	0.149632	0.963296	0.968704	4.46826	7.51821	28.4324	1.10771	1.40902	1.32915	0.757696	57.9479	0.434112	
2	27.5503	5.50282	1.9137	0.684576	0.671744	0.734816	0.108544	0.958752	0.964608	3.62547	7.50925	30.8591	1.11171	2.07114	1.53398	1.32122	57.9148	0.36912	
3	34.0644	6.72637	2.64528	0.90304	0.73824	0.807104	0.330176	0.970752	1.12662	4.42634	8.66099	36.6837	1.21757	1.41517	1.56326	1.49213	72.6385	0.223488	
4	34.0955	6.4847	2.68045	0.696448	0.707968	1.0199	0.121664	1.05539	1.18227	4.4559	9.31542	32.8612	1.28614	1.78109	1.51936	1.40886	72.194	0.868672	
5	34.0421	6.52707	2.42483	0.770048	0.870304	0.786432	0.12336	1.00134	0.957216	4.44442	9.33453	36.5385	1.20298	1.41616	1.57686	1.02195	73.2754	4.09866	
6	33.5945	6.4376	2.23277	0.755168	0.65856	0.76464	0.120352	0.99648	2.49376	4.4073	9.40339	32.9373	1.19875	2.58422	1.71114	0.938592	74.3332	1.5032	
7	34.1035	5.86288	2.16205	0.714752	0.753664	0.792	0.403808	1.09763	1.0551	3.90707	9.10746	30.4632	1.24128	1.52125	1.52371	0.835328	71.9524	0.732928	
8	34.0546	6.48294	2.4399	2.23846	0.69072	0.95968	0.26624	0.964608	1.03206	4.53142	9.38688	31.0784	1.22397	1.44525	1.55472	1.01363	71.7818	0.49392	
9	34.0226	6.47936	2.45174	0.69616	0.662784	0.909312	0.216	0.950272	0.961664	4.4585	9.4329	36.9013	1.21446	1.45344	1.43974	0.95824	72.7202	0.220832	
